GID,PID,SEASON,POSTSEASON,AWAY,PRESSURE,TO BEFORE,PRECIP,COLD49,HUMID,WINDY,GRASS,ALTITUDE,DIST,MAKE,BLOCKED,FKICKER,NAME,FG OF CAREER,SEASON OF CAREER
1,17,2000,0,0,2,0,0,0,0,0,0,0,43,1,0,MA-070,Morten Andersen,602,18
1,34,2000,0,0,2,0,0,0,0,0,0,0,44,1,0,MA-070,Morten Andersen,603,18
1,52,2000,0,0,2,0,0,0,0,0,0,0,24,1,0,MA-070,Morten Andersen,604,18
1,64,2000,0,0,2,0,0,0,0,0,0,0,44,1,0,MA-070,Morten Andersen,605,18
1,95,2000,0,0,2,0,0,0,0,0,0,0,48,1,0,MA-070,Morten Andersen,606,18
2,241,2000,0,1,2,1,0,0,1,0,1,0,50,1,0,MH-310,Mike Hollis,150,6
2,277,2000,0,1,2,0,0,0,1,0,1,0,25,1,0,MH-310,Mike Hollis,151,6
3,375,2000,0,1,2,0,0,0,0,0,0,0,33,1,0,DA-030,David Akers,9,1
3,387,2000,0,0,2,0,0,0,0,0,0,0,34,1,0,TS-110,Tim Seder,1,1
3,401,2000,0,0,2,0,0,0,0,0,0,0,38,1,0,TS-110,Tim Seder,2,1
3,416,2000,0,1,2,0,0,0,0,0,0,0,37,1,0,DA-030,David Akers,10,1
4,517,2000,0,1,2,0,0,0,1,0,1,0,52,0,0,JH-050,John Hall,114,4
4,541,2000,0,0,2,0,0,0,1,0,1,0,45,1,0,RL-130,Ryan Longwell,104,4
4,563,2000,0,1,2,0,0,0,1,0,1,0,23,1,0,JH-050,John Hall,115,4
4,583,2000,0,1,2,0,0,0,1,0,1,0,48,0,0,JH-050,John Hall,116,4
4,595,2000,0,0,2,0,0,0,1,0,1,0,42,1,0,RL-130,Ryan Longwell,105,4
4,618,2000,0,1,3,0,0,0,1,0,1,0,39,1,0,JH-050,John Hall,117,4
4,626,2000,0,0,3,0,0,0,1,0,1,0,42,1,0,RL-130,Ryan Longwell,106,4
5,775,2000,0,1,3,0,0,0,0,0,1,0,23,1,0,MV-010,Mike Vanderjagt,73,3
5,799,2000,0,1,3,0,0,0,0,0,1,0,40,1,0,MV-010,Mike Vanderjagt,74,3
6,842,2000,0,0,2,0,0,0,0,1,1,0,48,1,0,OM-010,Olindo Mare,118,4
6,851,2000,0,0,2,0,0,0,0,1,1,0,25,1,0,OM-010,Olindo Mare,119,4
6,859,2000,0,0,2,0,0,0,0,1,1,0,30,1,0,OM-010,Olindo Mare,120,4
6,877,2000,0,1,2,0,0,0,0,1,1,0,52,0,0,KH-150,Kris Heppner,1,1
7,969,2000,0,0,2,0,0,0,0,0,0,0,35,1,0,GA-030,Gary Anderson,592,21
7,990,2000,0,0,2,0,0,0,0,0,0,0,38,1,0,GA-030,Gary Anderson,593,21
7,1019,2000,0,1,2,0,0,0,0,0,0,0,29,1,0,PE-010,Paul Edinger,1,1
7,1027,2000,0,0,2,0,0,0,0,0,0,0,45,1,0,GA-030,Gary Anderson,594,21
7,1040,2000,0,1,2,0,0,0,0,0,0,0,49,1,0,PE-010,Paul Edinger,2,1
8,1129,2000,0,0,2,0,0,0,1,0,1,0,30,1,0,AV-040,Adam Vinatieri,146,5
8,1203,2000,0,0,2,0,0,0,1,0,1,0,55,0,0,AV-040,Adam Vinatieri,147,5
9,1351,2000,0,1,2,0,0,0,0,0,0,0,24,1,0,JH-090,Jason Hanson,246,9
9,1362,2000,0,1,2,0,0,0,0,0,0,0,30,1,0,JH-090,Jason Hanson,247,9
9,1416,2000,0,0,3,0,0,0,0,0,0,0,48,1,0,DB-390,Doug Brien,156,7
9,1435,2000,0,0,3,1,0,0,0,0,0,0,52,0,1,DB-390,Doug Brien,157,7
10,1573,2000,0,1,2,0,0,0,1,0,1,0,32,1,0,CB-170,Cary Blanchard,154,9
11,1700,2000,0,0,2,0,0,0,0,1,1,0,41,0,0,SJ-030,Sebastian Janikowski,1,1
12,1812,2000,0,1,2,0,0,0,1,0,0,0,23,1,0,MS-520,Matt Stover,260,10
12,1866,2000,0,1,2,0,0,0,1,0,0,0,26,1,0,MS-520,Matt Stover,261,10
12,1875,2000,0,1,2,0,0,0,1,0,0,0,33,1,0,MS-520,Matt Stover,262,10
12,1884,2000,0,0,2,0,0,0,1,0,0,0,45,0,0,KB-230,Kris Brown,30,2
13,1980,2000,0,1,2,0,0,0,1,0,1,0,29,1,0,RC-290,Richie Cunningham,79,4
13,2022,2000,0,1,2,0,0,0,1,0,1,0,27,0,0,RC-290,Richie Cunningham,80,4
13,2054,2000,0,0,2,0,0,0,1,0,1,0,24,1,0,BC-230,Brett Conway,27,2
13,2091,2000,0,0,3,0,0,0,1,0,1,0,21,1,0,BC-230,Brett Conway,28,2
14,2166,2000,0,1,2,0,0,0,1,1,0,0,38,1,0,AD-080,Al Del Greco,334,2
14,2178,2000,0,0,2,1,0,0,1,1,0,0,51,0,0,SC-070,Steve Christie,337,4
14,2185,2000,0,1,2,0,0,0,1,1,0,0,27,1,0,AD-080,Al Del Greco,335,17
14,2218,2000,0,0,2,0,0,0,1,1,0,0,42,1,0,SC-070,Steve Christie,338,4
14,2230,2000,0,0,3,0,0,0,1,1,0,0,41,1,0,SC-070,Steve Christie,339,4
14,2273,2000,0,0,5,1,0,0,1,1,0,0,33,1,0,SC-070,Steve Christie,340,4
14,2277,2000,0,1,6,1,0,0,1,1,0,0,60,0,0,CH-290,Craig Hentrich,4,9
15,2315,2000,0,1,2,0,0,0,0,0,0,0,32,1,0,JE-020,Jason Elam,249,8
15,2362,2000,0,1,2,0,0,0,0,0,0,0,38,1,0,JE-020,Jason Elam,250,8
15,2407,2000,0,1,3,0,0,0,0,0,0,0,36,1,0,JE-020,Jason Elam,251,8
16,2438,2000,0,1,2,0,0,0,1,0,1,0,36,1,0,MH-310,Mike Hollis,152,6
16,2503,2000,0,1,2,0,0,0,1,0,1,0,45,1,0,MH-310,Mike Hollis,153,6
