full_name,player,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Adam Vinatieri,AV-0400,NE,NE,NE,NE,NE,NE,IND,IND,IND,IND,IND,IND,IND
David Akers,DA-0300,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,PHI,SF,SF
Jason Elam,JE-0200,DEN,DEN,DEN,DEN,DEN,DEN,DEN,DEN,ATL,ATL,NA,NA,NA
Jason Hanson,JH-0900,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET
Jay Feely,JF-0900,NA,ATL,ATL,ATL,ATL,NYG,NYG,MIA,NYJ,NYJ,ARI,ARI,ARI
Jeff Reed,JR-1100,NA,NA,PIT,PIT,PIT,PIT,PIT,PIT,PIT,PIT,SF,NA,NA
Jeff Wilkins,JW-3300,STL,STL,STL,STL,STL,STL,STL,STL,NA,NA,NA,NA,NA
Joe Nedney,JN-0600,DEN,TEN,TEN,TEN,NA,SF,SF,SF,SF,SF,SF,NA,NA
John Carney,JC-0900,SD,NO,NO,NO,NO,NO,NO,KC,NYG,NO,NO,NA,NA
John Kasay,JK-0200,NA,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,CAR,NO,NA
Josh Brown,JB-7100,NA,NA,NA,SEA,SEA,SEA,SEA,SEA,STL,STL,STL,STL,CIN
Josh Scobee,JS-1100,NA,NA,NA,NA,JAC,JAC,JAC,JAC,JAC,JAC,JAC,JAC,JAC
Kris Brown,KB-2300,PIT,PIT,HOU,HOU,HOU,HOU,HOU,HOU,HOU,HOU,SD,NA,NA
Lawrence Tynes,LT-1100,NA,NA,NA,NA,KC,KC,KC,NYG,NYG,NYG,NYG,NYG,NYG
Matt Bryant,MB-4600,NA,NA,NYG,NYG,MIA,TB,TB,TB,TB,ATL,ATL,ATL,ATL
Matt Stover,MS-5200,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,BAL,IND,NA,NA,NA
Mike Vanderjagt,MV-0100,IND,IND,IND,IND,IND,IND,DAL,NA,NA,NA,NA,NA,NA
Nate Kaeding,NK-0200,NA,NA,NA,NA,SD,SD,SD,SD,SD,SD,SD,NA,SD
Neil Rackers,NR-0100,CIN,CIN,CIN,ARI,ARI,ARI,ARI,ARI,ARI,ARI,HOU,HOU,NA
Olindo Mare,OM-0100,MIA,MIA,MIA,MIA,MIA,MIA,MIA,NO,SEA,SEA,SEA,CAR,CHI
Phil Dawson,PD-0200,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE,CLE
Rian Lindell,RL-0900,SEA,SEA,SEA,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF,BUF
Robbie Gould,RG-1500,NA,NA,NA,NA,NA,CHI,CHI,CHI,CHI,CHI,CHI,CHI,CHI
Rob Bironas,RB-2200,NA,NA,NA,NA,NA,TEN,TEN,TEN,TEN,TEN,TEN,TEN,TEN
Ryan Longwell,RL-1300,GB,GB,GB,GB,GB,GB,MIN,MIN,NO,MIN,MIN,MIN,SEA
Sebastian Janikowski,SJ-0300,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK,OAK
Shayne Graham,SG-1100,NA,BUF,CAR,CIN,CIN,CIN,CIN,CIN,CIN,CIN,NYG,MIA,HOU
